ID,Name(Romaji),Name(Localised),Nickname,Gender,Passive ID,Role,Game,Position,Alt Position,Element,Preferred Playstyle,First 3 Moves Learnt,Shot AT,Focus AT,Focus DF,Scramble AT,Scramble DF,Castle Wall DF,KP,Main Path,Alternate Paths
1,Mamoru Endo,Mark Evans,,男 (Male),,選手 (Player),,GK,FW,山 (Mountain),Justice,Strong Punch | God Hand | Fireball Knuckle,187,233,243.5,202,195,203,955,Keep > Keep,Keep > Keep | Shoot > Shoot
404,Kaihei Mizumaki,Brock Twigg,,男 (Male),,選手 (Player),,MF,DF,林 (Forest),Counter,Cunning Pull | Deceptor Dribble | Clone Defence,209,273.5,253.5,181,183,164,733,Defense > Offense,Offense > Offense | Defense > Defense
405,Nishiki Miyagi,Paddy Rise,,男 (Male),,選手 (Player),,DF,MF,火 (Fire),Justice,Crosscut Feint | Photon Crash | Foul Offence 3,167,209,244.5,224,220,208,870,Offense > Defense,Defense > Defense | Offense > Offense
406,Soto Utaba,Dustin Westend,,男 (Male),,選手 (Player),,FW,MF,風 (Wind),Bond,Crosscut Feint | Spiral Shot | Heaven's Time,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
407,Satoru Yaegashi,Alfonse Way,,男 (Male),,選手 (Player),,MF,DF,山 (Mountain),Tension,Shoulder Tackle | Super Armadillo | No Escape,209,273.5,253.5,181,183,164,733,Defense > Offense,Offense > Offense | Defense > Defense
408,Makishi Hananiwa,Pippin Flowers,,男 (Male),,選手 (Player),,FW,MF,火 (Fire),Rough Play,Deceptive Step | Grenade Shot | Foul Offence 3,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
409,Tetsuro Haruno,Euan Stamper,,男 (Male),,選手 (Player),,DF,GK,林 (Forest),Rough Play,Mighty Save | Sigma Zone | Dual Smash,167,209,244.5,224,220,208,870,Keep > Defense,Defense > Defense | Keep > Keep
410,Nobuhiro Yamagata,Paddy Prunus,,男 (Male),,選手 (Player),,GK,DF,風 (Wind),Justice,Mighty Save | Land of Ice | Galatyn,176,220,230,193,189,198,913,Keep > Defense,Keep > Keep | Defense > Defense
411,Hogusu Oshii,Brian Presser,,男 (Male),,選手 (Player),,FW,MF,山 (Mountain),Counter,Feint Dash | Gaia Break | Three-Legged Rush,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
412,Tsunenori Nano,Pete LeGume,,男 (Male),,選手 (Player),,DF,MF,火 (Fire),Rough Play,Heel Flick | Ignited Steal | Scorching Tackle,167,209,244.5,224,220,208,870,Offense > Defense,Defense > Defense | Offense > Offense
413,Ittoku Fukikoshi,Shylock Watson,,男 (Male),,選手 (Player),,DF,MF,林 (Forest),Breach,Rolling Steal | Deceptor Dribble | Spider Web,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
414,Masatoshi Matsuda,Ed Ripp,,男 (Male),,選手 (Player),,DF,MF,山 (Mountain),Breach,Cunning Pull | Super Armadillo | Circus Block,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
415,Sumiaki Ogaki,Hike Basher,,男 (Male),,選手 (Player),,FW,MF,林 (Forest),Justice,Crosscut Feint | Kung Fu Header | Ultra Moon,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
416,Toru Arai,Anthony Phinder,,男 (Male),,選手 (Player),,FW,MF,火 (Fire),Bond,Heel Flick | Grenade Shot | Dog Run,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
417,Rokuro Machida,Duncan Jump,,男 (Male),,選手 (Player),,DF,MF,火 (Fire),Breach,Rolling Steal | Double Touch | Zigzag Flame,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
418,Koichi Kitahara,Lucky Winn,,男 (Male),,選手 (Player),,MF,DF,風 (Wind),Breach,Curving Cut | Aurora Dribble | Perimeter Zone,209,273.5,253.5,181,183,164,733,Defense > Offense,Offense > Offense | Defense > Defense
419,Toru Iriki,Gene Bates,,男 (Male),,選手 (Player),,DF,MF,火 (Fire),Bond,Feint Play | Double Touch | Racing Flame,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
420,Shunji Eda,Randolf Finn,,男 (Male),,選手 (Player),,GK,DF,山 (Mountain),Bond,Power Catch | Sumo Stomp | Flash Upper,176,220,230,193,189,198,913,Keep > Defense,Keep > Keep | Defense > Defense
421,Shinsuke Nishio,Ron Away,,男 (Male),,選手 (Player),,FW,MF,火 (Fire),Counter,Dust Kick | Grenade Shot | Heel Drop,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
422,Riku Hattori,Rick Hatter,,男 (Male),,選手 (Player),,FW,MF,火 (Fire),Tension,Feint Dash | Grenade Shot | Foul Offence 3,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
423,Yoko Tento,Grant Mardy,,男 (Male),,選手 (Player),,DF,MF,風 (Wind),Rough Play,Curving Cut | Whirlwind Twister | Snow Angel,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
424,Nagaru Shichiya,Shawn Broker,,男 (Male),,選手 (Player),,GK,MF,山 (Mountain),Bond,Power Catch | Dash Accelerator | Toughness Block,176,220,230,193,189,198,913,Keep > Offense,Keep > Keep | Offense > Offense
425,Yoshio Zenigata,Anthony Coyne,,男 (Male),,選手 (Player),,DF,MF,火 (Fire),Rough Play,Nutmeg | Flame Dance | Scorching Tackle,167,209,244.5,224,220,208,870,Offense > Defense,Defense > Defense | Offense > Offense
426,Kazuki Kaneko,Healey Proctor,,男 (Male),,選手 (Player),,MF,DF,山 (Mountain),Bond,Nutmeg | The Wall | Mole Fake,209,264,242.5,185,184,175,762,Offense > Defense,Offense > Offense | Defense > Defense
427,Heisuke Denpo,Ade Posting,,男 (Male),,選手 (Player),,FW,MF,風 (Wind),Rough Play,Deceptive Step | Spiral Shot | Aikido,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
428,Yasufumi Nakazono,Doug Outon,,男 (Male),,選手 (Player),,MF,DF,風 (Wind),Rough Play,Rolling Steal | Aurora Dribble | Cyclone,209,273.5,253.5,181,183,164,733,Defense > Offense,Offense > Offense | Defense > Defense
429,Masatoshi Aga,Ebenezer Marner,,男 (Male),,選手 (Player),,DF,MF,火 (Fire),Tension,Cunning Pull | Double Touch | Shooting Star,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
430,Abiru Umihara,Davy Johns,,男 (Male),,選手 (Player),,FW,MF,風 (Wind),Bond,Heel Flick | Condor Dive | Heaven's Time,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
431,Chuta Gozu,Bos Horne,,男 (Male),,選手 (Player),,DF,FW,山 (Mountain),Counter,Curving Cut | Gaia Break | No Escape,174,222,246,213,208,199,852,Defense > Shoot,Defense > Defense | Shoot > Shoot
432,Doji Kahaku,Nick Orner,,男 (Male),,選手 (Player),,GK,MF,風 (Wind),Tension,Deceptive Step | Ice Block | Aikido,176,220,230,193,189,198,913,Offense > Keep,Keep > Keep | Offense > Offense
433,Shigeshi Hosoe,Nathin Gaunt,,男 (Male),,選手 (Player),,MF,DF,山 (Mountain),Justice,Feint Dash | Gravitation | Mole Fake,209,264,242.5,185,184,175,762,Offense > Defense,Offense > Offense | Defense > Defense
434,Ishihide Kitao,Quentin Quartz,,男 (Male),,選手 (Player),,FW,DF,山 (Mountain),Justice,Shoulder Tackle | Gaia Break | Stone Prison,230,273,231.5,170,172,164,733,Defense > Shoot,Shoot > Shoot | Defense > Defense
435,Kinji Ninomiya,Andrew Meikle,,男 (Male),,選手 (Player),,GK,DF,火 (Fire),Counter,Cunning Pull | Fireball Knuckle | Racing Flame,176,220,230,193,189,198,913,Defense > Keep,Keep > Keep | Defense > Defense
436,Noboru Sakekawa,Gary Salmon,,男 (Male),,選手 (Player),,GK,DF,山 (Mountain),Breach,Strong Punch | Earthquake | Wood Chopper,176,220,230,193,189,198,913,Keep > Defense,Keep > Keep | Defense > Defense
437,Hironari Mizuhara,Fontaine Tapper,,男 (Male),,選手 (Player),,FW,MF,火 (Fire),Justice,Crosscut Feint | Grenade Shot | Dog Run,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
438,Ikuo Shiba,Leon Lawn,,男 (Male),,選手 (Player),,DF,MF,山 (Mountain),Justice,Heel Flick | Gravitation | Mole Fake,167,209,244.5,224,220,208,870,Offense > Defense,Defense > Defense | Offense > Offense
439,Michiharu Nishijima,Jim Sweatman,,男 (Male),,選手 (Player),,GK,DF,風 (Wind),Justice,Strong Punch | Coil Turn | Electric Trap,176,220,230,193,189,198,913,Keep > Defense,Keep > Keep | Defense > Defense
440,Gen Ryubi,Cole Coaker,,男 (Male),,選手 (Player),,GK,DF,林 (Forest),Counter,Power Catch | Fake Ball | Dual Smash,176,220,230,193,189,198,913,Keep > Defense,Keep > Keep | Defense > Defense
441,Hatsushi Fukushima,Stu Born,,男 (Male),,選手 (Player),,GK,DF,火 (Fire),Rough Play,Feint Play | Power Shield | Rolling Slide,176,220,230,193,189,198,913,Defense > Keep,Keep > Keep | Defense > Defense
442,Hisateru Rama,Romeo Montague,,男 (Male),,選手 (Player),,GK,MF,火 (Fire),Tension,Power Catch | Double Touch | Nitro Slap,176,220,230,193,189,198,913,Keep > Offense,Keep > Keep | Offense > Offense
443,Nao Haitani,Drew Straitedge,,男 (Male),,選手 (Player),,GK,DF,山 (Mountain),Justice,Mighty Save | Sumo Stomp | Sliding Goal,176,220,230,193,189,198,913,Keep > Defense,Keep > Keep | Defense > Defense
444,Yoshimasa Fukawa,Dash Dotter,,男 (Male),,選手 (Player),,MF,FW,風 (Wind),Rough Play,Crosscut Feint | Cross Drive | Aikido,209,264,242.5,185,184,175,762,Offense > Shoot,Offense > Offense | Shoot > Shoot
445,Hikaru Tochigi,Gill O'Mend,,男 (Male),,選手 (Player),,MF,DF,火 (Fire),Breach,Shoulder Tackle | Meteor Shower | Volcano Cut,209,273.5,253.5,181,183,164,733,Defense > Offense,Offense > Offense | Defense > Defense
446,Ekito Chohi,Pay Chance,,男 (Male),,選手 (Player),,GK,DF,火 (Fire),Justice,Power Catch | Super Sumo Stomp | Blazing Knuckle,176,220,230,193,189,198,913,Keep > Defense,Keep > Keep | Defense > Defense
447,Morito Yoroi,Bill Aegis,,男 (Male),,選手 (Player),,DF,MF,山 (Mountain),Bond,Deceptive Step | Earthquake | Three-Legged Rush,167,209,244.5,224,220,208,870,Offense > Defense,Defense > Defense | Offense > Offense
448,Yushi Kochi,Tosh Coach,,男 (Male),,選手 (Player),,DF,MF,山 (Mountain),Counter,Curving Cut | Dash Accelerator | No Escape,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
449,Osahito Kanu,Carl Gnu,,男 (Male),,選手 (Player),,FW,DF,林 (Forest),Counter,Shoulder Tackle | Dragon Crash | Spider Web,230,273,231.5,170,172,164,733,Defense > Shoot,Shoot > Shoot | Defense > Defense
450,Sumita Sapporo,Paul Sapp,,男 (Male),,選手 (Player),,MF,DF,山 (Mountain),Rough Play,Curving Cut | Super Armadillo | Iron Wall,209,273.5,253.5,181,183,164,733,Defense > Offense,Offense > Offense | Defense > Defense
451,Kuguru Kanshin,Macky Valley,,男 (Male),,選手 (Player),,FW,MF,風 (Wind),Justice,Nutmeg | Cross Drive | Heaven's Time,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
452,Mitsuru Iguchi,Troy Trucker,,男 (Male),,選手 (Player),,FW,DF,風 (Wind),Breach,Power Shot | Blade Attack | Space Penguin,219,261.5,234,181,183,172,749,Shoot > Defense,Shoot > Shoot | Defense > Defense
453,Kaesu Morishita,Haden Seek,,男 (Male),,選手 (Player),,FW,MF,火 (Fire),Justice,Dust Kick | Grenade Shot | Dog Run,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
454,Takuji Fukurosaki,Kevin Doors,,男 (Male),,選手 (Player),,GK,DF,風 (Wind),Bond,Mighty Save | Blade Attack | Electric Trap,176,220,230,193,189,198,913,Keep > Defense,Keep > Keep | Defense > Defense
455,Dai Kurahashi,Skip Rooter,,男 (Male),,選手 (Player),,MF,DF,火 (Fire),Breach,Rolling Steal | Lightning Bolt | Volcano Cut,209,273.5,253.5,181,183,164,733,Defense > Offense,Offense > Offense | Defense > Defense
456,Shu Imamura,Rip Airman,,男 (Male),,選手 (Player),,DF,MF,山 (Mountain),Bond,Dust Kick | The Wall | Three-Legged Rush,167,209,244.5,224,220,208,870,Offense > Defense,Defense > Defense | Offense > Offense
457,Migaku Kawashima,Stu Shiner,,男 (Male),,選手 (Player),,GK,DF,風 (Wind),Counter,Power Catch | Frozen Steal | Barrier Reef,176,220,230,193,189,198,913,Keep > Defense,Keep > Keep | Defense > Defense
458,Daishiro Kawasaki,Matt Matickal,,男 (Male),,選手 (Player),,GK,DF,林 (Forest),Tension,Strong Punch | Fake Ball | Majin the Hand,176,220,230,193,189,198,913,Keep > Defense,Keep > Keep | Defense > Defense
459,Hikaru Noborikawa,Philip Flagg,,男 (Male),,選手 (Player),,DF,MF,山 (Mountain),Breach,Feint Play | Dash Accelerator | Bamboo Pattern,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
460,Michiya Kaikawa,Alf Groundsman,,男 (Male),,選手 (Player),,DF,MF,山 (Mountain),Bond,Cunning Pull | Super Armadillo | Bamboo Pattern,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
461,Ikkyu Kikumaru,Ernie Riddell,,男 (Male),,選手 (Player),,FW,MF,林 (Forest),Bond,Bounce Shot | Deceptor Dribble | Acrobat Bomber,219,261.5,234,181,183,172,749,Shoot > Offense,Shoot > Shoot | Offense > Offense
462,Osei Yagata,Len Stint,,男 (Male),,選手 (Player),,GK,DF,風 (Wind),Justice,Power Catch | Frozen Steal | Electric Trap,176,220,230,193,189,198,913,Keep > Defense,Keep > Keep | Defense > Defense
463,Tsukihito Suzumushi,Holly Cricket,,男 (Male),,選手 (Player),,MF,DF,火 (Fire),Justice,Feint Play | Double Touch | Racing Flame,209,273.5,253.5,181,183,164,733,Defense > Offense,Offense > Offense | Defense > Defense
464,Jin Juro,Jim Reed,,男 (Male),,選手 (Player),,DF,MF,林 (Forest),Rough Play,Feint Play | Illusory Ball | Harvest,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
465,Kiwamu Nanriku,Gwyn Penn,,男 (Male),,選手 (Player),,GK,DF,風 (Wind),Breach,Mighty Save | Frozen Steal | Whirlwind,176,220,230,193,189,198,913,Keep > Defense,Keep > Keep | Defense > Defense
466,Shinji Igashira,Spike Needle,,男 (Male),,選手 (Player),,GK,DF,風 (Wind),Rough Play,Strong Punch | Land of Ice | Whirlwind,176,220,230,193,189,198,913,Keep > Defense,Keep > Keep | Defense > Defense
467,Hayato Ise,Ifan Tassy,,男 (Male),,選手 (Player),,MF,DF,山 (Mountain),Tension,Cunning Pull | Bewildered | Iron Wall,209,273.5,253.5,181,183,164,733,Defense > Offense,Offense > Offense | Defense > Defense
468,Tsukasa Nagato,Eggbert Heading,,男 (Male),,選手 (Player),,FW,MF,林 (Forest),Tension,Chip Shot | Deceptor Dribble | Dark Tornado,219,261.5,234,181,183,172,749,Shoot > Offense,Shoot > Shoot | Offense > Offense
469,Kaito Pazuru,Pascal Blaise,,男 (Male),,選手 (Player),,DF,MF,林 (Forest),Rough Play,Feint Play | Afterimage | Shadow Stitch,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
470,Choji Fudano,Will Whist,,男 (Male),,選手 (Player),,GK,MF,火 (Fire),Breach,Feint Dash | Drill Smasher | Foul Offence 3,176,220,230,193,189,198,913,Offense > Keep,Keep > Keep | Offense > Offense
471,Senri Nagaosa,Ewan Liner,,男 (Male),,選手 (Player),,GK,DF,風 (Wind),Tension,Strong Punch | Blade Attack | Galatyn,176,220,230,193,189,198,913,Keep > Defense,Keep > Keep | Defense > Defense
472,Kohei Maezono,Buster Locke,,男 (Male),,選手 (Player),,DF,MF,火 (Fire),Bond,Nutmeg | Ignited Steal | Heel Drop,167,209,244.5,224,220,208,870,Offense > Defense,Defense > Defense | Offense > Offense
473,Ken Kusanagi,Rex Plorer,,男 (Male),,選手 (Player),,FW,DF,林 (Forest),Breach,Shoulder Tackle | Wrath Shot | Shadow Stitch,230,273,231.5,170,172,164,733,Defense > Shoot,Shoot > Shoot | Defense > Defense
474,Hisuto Ueda,Webber Poster,,男 (Male),,選手 (Player),,MF,DF,火 (Fire),Tension,Shoulder Tackle | Meteor Shower | Volcano Cut,209,273.5,253.5,181,183,164,733,Defense > Offense,Offense > Offense | Defense > Defense
475,Yuta Kaga,Sid Parting,,男 (Male),,選手 (Player),,DF,MF,風 (Wind),Tension,Cunning Pull | Water Veil | Vac Attack,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
476,Kimiaki Nozawa,Eaton Rampage,,男 (Male),,選手 (Player),,FW,DF,山 (Mountain),Tension,Feint Play | Gaia Break | Circus Block,230,273,231.5,170,172,164,733,Defense > Shoot,Shoot > Shoot | Defense > Defense
477,Yoshio Minamoto,Parker Leaper,,男 (Male),,選手 (Player),,GK,DF,風 (Wind),Rough Play,Mighty Save | Blade Attack | Needle Hammer,176,220,230,193,189,198,913,Keep > Defense,Keep > Keep | Defense > Defense
478,Mutsuto Naginata,Hank Halberd,,男 (Male),,選手 (Player),,GK,MF,林 (Forest),Tension,Strong Punch | Deceptor Dribble | Giant Spider,176,220,230,193,189,198,913,Keep > Offense,Keep > Keep | Offense > Offense
479,Kyu Nagatsuki,Robin Catching,,男 (Male),,選手 (Player),,GK,DF,火 (Fire),Justice,Strong Punch | Photon Crash | Nitro Slap,176,220,230,193,189,198,913,Keep > Defense,Keep > Keep | Defense > Defense
480,Mitsunobu Hyuga,Trey Spotter,,男 (Male),,選手 (Player),,MF,DF,風 (Wind),Breach,Deceptive Step | Blade Attack | Heaven's Time,209,264,242.5,185,184,175,762,Offense > Defense,Offense > Offense | Defense > Defense
481,Oichi Tamai,Onslow Ball,,男 (Male),,選手 (Player),,DF,MF,林 (Forest),Justice,Rolling Steal | Afterimage | Shadow Stitch,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
482,Ayahito Daimonji,Tex Tingle,,男 (Male),,選手 (Player),,GK,MF,林 (Forest),Counter,Mighty Save | Afterimage | Dual Smash,176,220,230,193,189,198,913,Keep > Offense,Keep > Keep | Offense > Offense
483,Kanemichi Reppu,Sam Gale,,男 (Male),,選手 (Player),,GK,MF,火 (Fire),Breach,Power Catch | Lightning Bolt | Flame Breath,176,220,230,193,189,198,913,Keep > Offense,Keep > Keep | Offense > Offense
484,Noboru Inami,Ryder Waverly,,男 (Male),,選手 (Player),,MF,DF,火 (Fire),Counter,Curving Cut | Lightning Bolt | Zigzag Flame,209,273.5,253.5,181,183,164,733,Defense > Offense,Offense > Offense | Defense > Defense
485,Kurenai Hiroshima,Leaf Scarlett,,男 (Male),,選手 (Player),,FW,MF,風 (Wind),Justice,Feint Dash | God Knows | Heaven's Time,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
486,Tomohito Urabe,Horace Coop,,男 (Male),,選手 (Player),,DF,MF,林 (Forest),Tension,Shoulder Tackle | Illusory Ball | Clone Defence,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
487,Takeshi Enomoto,Ness Lockley,,男 (Male),,選手 (Player),,DF,MF,林 (Forest),Justice,Nutmeg | Fake Ball | Ultra Moon,167,209,244.5,224,220,208,870,Offense > Defense,Defense > Defense | Offense > Offense
488,Yosuke Hoba,Olef Tennant,,男 (Male),,選手 (Player),,DF,MF,風 (Wind),Counter,Crosscut Feint | Blade Attack | Aikido,167,209,244.5,224,220,208,870,Offense > Defense,Defense > Defense | Offense > Offense
489,Tanenobu Tokui,Len Scapp,,男 (Male),,選手 (Player),,GK,MF,山 (Mountain),Rough Play,Mighty Save | Dash Accelerator | Capoeira Grab,176,220,230,193,189,198,913,Keep > Offense,Keep > Keep | Offense > Offense
490,Minoru Takao,Monty Hillary,,男 (Male),,選手 (Player),,FW,MF,山 (Mountain),Rough Play,Deceptive Step | Gaia Break | Three-Legged Rush,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
491,Tsukuru Orita,Penfold Pulper,,男 (Male),,選手 (Player),,FW,MF,風 (Wind),Breach,Crosscut Feint | God Knows | Dash Storm,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
492,Sora Awashima,Thomas Cott,,男 (Male),,選手 (Player),,GK,DF,風 (Wind),Counter,Shoulder Tackle | Ice Block | Whirlwind Force,176,220,230,193,189,198,913,Defense > Keep,Keep > Keep | Defense > Defense
493,Taiyo Miyazaki,Spike Thorne,,男 (Male),,選手 (Player),,DF,MF,林 (Forest),Counter,Cunning Pull | Deceptor Dribble | Harvest,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
494,Toshi Daimaru,Lincoln Hawking,,男 (Male),,選手 (Player),,FW,MF,山 (Mountain),Rough Play,Heel Flick | Tarzan Kick | Three-Legged Rush,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
495,Osamu Akutagawa,Ted Larkin,,男 (Male),,選手 (Player),,MF,DF,林 (Forest),Bond,Feint Dash | Sigma Zone | Clone Faker,209,264,242.5,185,184,175,762,Offense > Defense,Offense > Offense | Defense > Defense
496,Ken Yakushiji,Madison Cabinet,,男 (Male),,選手 (Player),,GK,DF,火 (Fire),Breach,Power Catch | Photon Crash | God Hand X,176,220,230,193,189,198,913,Keep > Defense,Keep > Keep | Defense > Defense
497,Kaoru Komoto,Odo Cologne,,男 (Male),,選手 (Player),,MF,DF,風 (Wind),Tension,Rolling Steal | Flurry Dash | Perimeter Zone,209,273.5,253.5,181,183,164,733,Defense > Offense,Offense > Offense | Defense > Defense
498,Toma Hoshimi,Nester Damus,,男 (Male),,選手 (Player),,GK,DF,風 (Wind),Counter,Rolling Steal | Temporal Wall | Perimeter Zone,176,220,230,193,189,198,913,Defense > Keep,Keep > Keep | Defense > Defense
499,Hiroki Daikoku,Herb Ivore,,男 (Male),,選手 (Player),,FW,MF,山 (Mountain),Tension,Heel Flick | Gaia Break | Three-Legged Rush,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
500,Michiaki Juji,Homer Pidgeon,,男 (Male),,選手 (Player),,DF,MF,火 (Fire),Bond,Rolling Steal | Meteor Shower | Shooting Star,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
